COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,,2020-12-29,7,30810184,68.17
Australia,AUS,WPRO,REPORTING,2023-09-07,68653247,22201481,269.23,87.065,21610412,84.747,,2021-02-21,5,14405773,56.493
Bahrain,BHR,EMRO,REPORTING,2022-12-21,3476633,1241174,204.319,72.943,1226796,72.098,,2020-11-04,11,1008663,59.278
British Virgin Islands,VGB,AMRO,REPORTING,2023-06-02,41453,19466,137.094,64.378,18261,60.393,,2021-02-11,3,3726,12.323
Egypt,EGY,EMRO,REPORTING,2023-05-21,112673535,56907319,110.103,55.609,42337175,41.371,,2021-01-24,10,15217352,14.87
El Salvador,SLV,AMRO,REPORTING,2023-06-02,11426688,4656627,176.169,71.793,4393762,67.74,,2021-02-17,6,1898202,29.265
Eswatini,SWZ,AFRO,REPORTING,2023-06-04,870205,526050,75.007,45.343,427335,36.834,,2021-03-19,3,179450,15.468
Greece,GRC,EURO,REPORTING,2023-09-03,21985377,7917117,205.1,75.691,7745426,74.05,,2020-12-23,7,5902329,56.429
Guam,GUM,WPRO,REPORTING,2023-01-31,352698,135612,208.975,80.351,128788,76.308,,2021-01-04,3,83603,49.535
India,IND,SEARO,REPORTING,2023-06-27,2206737729,1025823823,159.908,74.335,952120865,68.994,,2021-01-16,8,228793041,16.579
Latvia,LVA,EURO,REPORTING,2023-08-13,2979624,1344386,156.2,71.672,1304787,69.561,,2020-12-30,9,550901,29.37
Lesotho,LSO,AFRO,REPORTING,2023-03-19,1339097,1014073,62.509,47.337,938088,43.79,,2021-03-10,3,177816,8.3
Luxembourg,LUX,EURO,REPORTING,2023-08-06,1337890,469283,213.7,72.712,462711,71.694,,2020-12-30,8,368510,57.098
Montserrat,MSR,AMRO,REPORTING,2023-06-02,4619,2104,92.398,42.088,1952,39.048,,2021-02-08,2,563,11.262
Namibia,NAM,AFRO,REPORTING,2023-09-10,1005582,629473,39.576,24.774,550656,21.672,,2021-03-19,4,298560,11.75
Papua New Guinea,PNG,WPRO,REPORTING,2023-09-03,537372,393802,6.006,4.401,332608,3.718,,2021-03-30,4,36623,0.409
Portugal,PRT,EURO,OWID,2023-09-01,28196689,9791341,273.9,94.584,8906354,86.035,,2020-12-23,12,,
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178,2852178,264.111,98.998,2852178,98.998,,,10,1904822,66.115
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,68534631,27041364,196.86,77.674,25433941,73.057,,2021-01-06,10,16059326,46.129
Senegal,SEN,AFRO,REPORTING,2023-09-10,3152562,2684696,18.828,16.034,1503332,8.978,,2021-02-23,3,815965,4.873
Sint Maarten,SXM,AMRO,REPORTING,2023-06-02,66829,29788,155.844,69.465,26773,62.434,,2021-02-22,3,9146,21.328
South Africa,ZAF,AFRO,REPORTING,2023-06-04,38882146,24210953,65.559,40.822,21038797,35.473,,2021-02-17,2,4410601,7.437
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,40116590,17143761,187.345,80.061,14752827,68.896,,2021-01-29,6,8220002,38.387
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054,9991089,251.982,101.018,9792266,99.008,,,11,5138699,51.956
United States of America,USA,AMRO,REPORTING,2023-06-02,668882018,267321711,202.078,80.761,227948938,68.866,,2020-12-14,4,116629517,35.235
Uzbekistan,UZB,EURO,REPORTING,2023-08-13,80700978,22087418,241.1,64.808,18438157,54.1,,2021-04-28,9,16118818,47.295
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303,7150,153.859,63.578,6803,60.493,,2021-03-19,1,3350,29.788
Albania,ALB,EURO,REPORTING,2023-07-16,3087677,1349150,107.3,47.26,1279231,44.811,,2021-01-13,6,401767,14.074
Chile,CHL,AMRO,REPORTING,2023-06-02,66273384,18106832,346.687,94.72,17716364,92.677,,2020-12-21,5,15766986,82.48
Congo,COG,AFRO,REPORTING,2022-07-31,833210,695760,15.1,12.609,654119,11.854,,2021-03-23,4,,
Côte d’Ivoire,CIV,AFRO,REPORTING,2023-02-19,25263932,13568372,95.776,51.438,12164304,46.115,,2021-03-01,5,3138712,11.899
Denmark,DNK,EURO,REPORTING,2023-08-20,14943741,4754913,256.6,80.956,4719688,80.357,,2020-12-16,5,3624228,61.706
Greenland,GRL,EURO,OWID,2022-03-14,79738,41227,140.453,72.619,38511,67.834,,,1,,
Guernsey,GGY,EURO,OWID,2022-12-19,178525,54223,276.92,84.108,52710,81.761,,,3,69339,107.556
Guinea,GIN,AFRO,REPORTING,2023-04-02,10645240,7679918,81.058,58.479,4725982,35.986,,2021-03-05,6,302545,2.304
Guinea-Bissau,GNB,AFRO,REPORTING,2023-06-04,825234,733271,41.933,37.26,533741,27.121,,2021-04-02,2,48801,2.48
Guyana,GUY,AMRO,REPORTING,2023-06-02,960133,495285,122.069,62.969,381984,48.564,,2021-02-11,7,77874,9.901
Hungary,HUN,EURO,REPORTING,2023-08-06,16570437,6358635,169.6,65.627,6152003,63.495,,2020-12-23,8,3868653,39.928
Japan,JPN,WPRO,REPORTING,2023-09-05,407284261,104737006,322.024,82.811,103417721,81.768,,2021-02-17,4,86588627,68.462
Kyrgyzstan,KGZ,EURO,REPORTING,2023-06-18,3167393,1528725,48.5,23.419,1337850,20.495,,2021-03-31,6,300818,4.608
Mauritius,MUS,AFRO,REPORTING,2023-07-30,2616012,1123773,205.699,88.363,1088142,85.561,,2021-01-26,3,654507,51.464
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144,2284018,172.899,69.671,2185282,66.659,,2021-02-23,6,1058839,32.299
North Macedonia,MKD,EURO,REPORTING,2023-05-07,1862987,854570,89.4,40.629,838181,39.85,,2021-02-17,7,161633,7.685
Seychelles,SYC,AFRO,REPORTING,2023-04-09,224558,88520,228.332,90.008,83565,84.97,,2021-01-10,4,44936,45.691
Trinidad and Tobago,TTO,AMRO,REPORTING,2023-06-02,1589640,754399,113.587,53.905,718969,51.374,,2021-02-17,5,174836,12.493
Turkmenistan,TKM,EURO,REPORTING,2023-08-06,16775970,4614869,278.2,72.768,4568901,72.044,,2021-02-24,7,3816400,60.178
Uganda,UGA,AFRO,REPORTING,2023-05-28,26406936,20033189,57.731,43.797,13061126,28.555,,2021-03-10,5,764664,1.672
