Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2022-06-30 00:00:00;Ashe County;23.0;17.0;316.0;333.0;25924.0;2668.0;0.0;1.0;8.0;9.0;37.0;4.0;2022;06
2022-06-30 00:00:00;Beaufort County;53.0;23.0;552.0;575.0;40147.0;3458.0;4.0;2.0;11.0;13.0;44.0;18.0;2022;06
2022-06-30 00:00:00;Bertie County;6.0;6.0;108.0;114.0;16052.0;1217.0;1.0;0.0;0.0;0.0;-49.0;13.0;2022;06
2022-06-30 00:00:00;Bladen County;23.0;6.0;193.0;199.0;27348.0;2133.0;4.0;0.0;-1.0;-1.0;-22.0;11.0;2022;06
2022-06-30 00:00:00;Graham County;5.0;5.0;66.0;71.0;6895.0;810.0;1.0;0.0;2.0;2.0;30.0;7.0;2022;06
2022-06-30 00:00:00;Halifax County;30.0;15.0;341.0;356.0;42755.0;2239.0;0.0;1.0;0.0;1.0;-161.0;31.0;2022;06
2022-06-30 00:00:00;Henderson County;272.0;189.0;2490.0;2679.0;96826.0;6475.0;8.0;3.0;46.0;49.0;-87.0;31.0;2022;06
2022-06-30 00:00:00;Iredell County;564.0;244.0;2612.0;2856.0;153719.0;10952.0;30.0;7.0;55.0;62.0;-36.0;-32.0;2022;06
2022-06-30 00:00:00;Montgomery County;28.0;15.0;259.0;274.0;23439.0;1829.0;3.0;0.0;4.0;4.0;-5.0;5.0;2022;06
2022-06-30 00:00:00;Nash County;75.0;44.0;839.0;883.0;78833.0;5654.0;4.0;1.0;9.0;10.0;-170.0;65.0;2022;06
2022-06-30 00:00:00;Onslow County;201.0;166.0;2224.0;2390.0;129458.0;7606.0;7.0;4.0;53.0;57.0;256.0;-15.0;2022;06
2022-06-30 00:00:00;Pender County;105.0;65.0;951.0;1016.0;53060.0;4046.0;11.0;6.0;21.0;27.0;215.0;3.0;2022;06
2022-06-30 00:00:00;Robeson County;46.0;27.0;677.0;704.0;92079.0;5257.0;0.0;1.0;-2.0;-1.0;-506.0;-15.0;2022;06
2022-06-30 00:00:00;Rockingham County;65.0;49.0;778.0;827.0;78999.0;5105.0;7.0;-1.0;14.0;13.0;81.0;6.0;2022;06
2022-06-30 00:00:00;Scotland County;17.0;10.0;220.0;230.0;24372.0;1037.0;1.0;-1.0;5.0;4.0;-132.0;-2.0;2022;06
2022-06-30 00:00:00;Surry County;58.0;39.0;692.0;731.0;67422.0;10573.0;4.0;1.0;3.0;4.0;221.0;89.0;2022;06
2022-06-30 00:00:00;Swain County;17.0;12.0;185.0;197.0;13779.0;1459.0;4.0;1.0;2.0;3.0;118.0;-2.0;2022;06
2022-06-30 00:00:00;Union County;1076.0;346.0;3518.0;3864.0;184453.0;13508.0;35.0;10.0;61.0;71.0;299.0;25.0;2022;06
2022-06-30 00:00:00;Wilson County;57.0;37.0;641.0;678.0;61931.0;4288.0;-1.0;2.0;15.0;17.0;-143.0;5.0;2022;06
2022-06-30 00:00:00;Yancey County;21.0;26.0;310.0;336.0;18145.0;1723.0;2.0;1.0;2.0;3.0;19.0;-9.0;2022;06
2022-05-31 00:00:00;Alleghany County;13.0;8.0;116.0;124.0;11136.0;1298.0;0.0;0.0;4.0;4.0;8.0;-2.0;2022;05
2022-05-31 00:00:00;Anson County;6.0;3.0;108.0;111.0;18840.0;1600.0;1.0;1.0;0.0;1.0;-92.0;4.0;2022;05
2022-05-31 00:00:00;Avery County;19.0;6.0;177.0;183.0;15979.0;1708.0;-2.0;1.0;3.0;4.0;16.0;-1.0;2022;05
2022-05-31 00:00:00;Bertie County;5.0;6.0;108.0;114.0;16101.0;1204.0;0.0;-1.0;6.0;5.0;-94.0;-19.0;2022;05
2022-05-31 00:00:00;Bladen County;19.0;6.0;194.0;200.0;27370.0;2122.0;1.0;2.0;3.0;5.0;-176.0;16.0;2022;05
2022-05-31 00:00:00;Buncombe County;1301.0;789.0;7458.0;8247.0;197813.0;13058.0;31.0;20.0;80.0;100.0;-116.0;49.0;2022;05
2022-05-31 00:00:00;Cabarrus County;674.0;241.0;2916.0;3157.0;164938.0;9886.0;28.0;11.0;22.0;33.0;-137.0;58.0;2022;05
2022-05-31 00:00:00;Caldwell County;76.0;58.0;776.0;834.0;72208.0;5244.0;-2.0;-1.0;25.0;24.0;-227.0;5.0;2022;05
2022-05-31 00:00:00;Cumberland County;434.0;260.0;3318.0;3578.0;213855.0;9436.0;4.0;-1.0;47.0;46.0;-788.0;24.0;2022;05
2022-05-31 00:00:00;Currituck County;70.0;29.0;447.0;476.0;26354.0;2555.0;6.0;1.0;12.0;13.0;30.0;17.0;2022;05
2022-05-31 00:00:00;Lincoln County;178.0;96.0;1037.0;1133.0;75630.0;5996.0;9.0;5.0;12.0;17.0;-29.0;-1.0;2022;05
2022-05-31 00:00:00;McDowell County;61.0;39.0;442.0;481.0;40023.0;2767.0;2.0;4.0;0.0;4.0;-203.0;-11.0;2022;05
2022-05-31 00:00:00;Mecklenburg County;5047.0;1901.0;17095.0;18996.0;724161.0;36416.0;115.0;92.0;147.0;239.0;-212.0;118.0;2022;05
2022-05-31 00:00:00;Montgomery County;25.0;15.0;255.0;270.0;23444.0;1824.0;1.0;2.0;-1.0;1.0;-39.0;3.0;2022;05
2022-05-31 00:00:00;Moore County;335.0;155.0;2202.0;2357.0;86237.0;12762.0;9.0;13.0;25.0;38.0;25.0;-29.0;2022;05
2022-05-31 00:00:00;Rowan County;147.0;101.0;1380.0;1481.0;115523.0;10294.0;2.0;-4.0;15.0;11.0;-76.0;58.0;2022;05
2022-05-31 00:00:00;Transylvania County;95.0;53.0;692.0;745.0;27269.0;2360.0;1.0;0.0;11.0;11.0;12.0;17.0;2022;05
2022-05-31 00:00:00;Yadkin County;27.0;22.0;344.0;366.0;36477.0;3453.0;2.0;1.0;9.0;10.0;-88.0;10.0;2022;05
2022-04-30 00:00:00;Avery County;21.0;5.0;174.0;179.0;15963.0;1709.0;1.0;0.0;-2.0;-2.0;-111.0;5.0;2022;04
2022-04-30 00:00:00;Brunswick County;299.0;179.0;2727.0;2906.0;127254.0;5849.0;15.0;4.0;52.0;56.0;69.0;49.0;2022;04
2022-04-30 00:00:00;Cabarrus County;646.0;230.0;2894.0;3124.0;165075.0;9828.0;27.0;11.0;32.0;43.0;-688.0;2.0;2022;04
2022-04-30 00:00:00;Chowan County;14.0;12.0;157.0;169.0;11897.0;984.0;0.0;0.0;-3.0;-3.0;-45.0;-5.0;2022;04
2022-04-30 00:00:00;Craven County;129.0;91.0;1357.0;1448.0;79728.0;4706.0;11.0;8.0;21.0;29.0;-349.0;102.0;2022;04
2022-04-30 00:00:00;Davie County;77.0;40.0;639.0;679.0;39812.0;3367.0;3.0;3.0;14.0;17.0;-221.0;-5.0;2022;04
2022-04-30 00:00:00;Guilford County;1194.0;543.0;8456.0;8999.0;361553.0;20568.0;40.0;13.0;29.0;42.0;-1832.0;56.0;2022;04
2022-04-30 00:00:00;Lincoln County;169.0;91.0;1025.0;1116.0;75659.0;5997.0;-2.0;0.0;12.0;12.0;-293.0;11.0;2022;04
2022-04-30 00:00:00;Madison County;37.0;22.0;374.0;396.0;20946.0;2031.0;2.0;1.0;10.0;11.0;-56.0;-29.0;2022;04
2022-04-30 00:00:00;Pasquotank County;25.0;33.0;406.0;439.0;30351.0;2020.0;-1.0;-3.0;2.0;-1.0;-193.0;0.0;2022;04
2022-04-30 00:00:00;Pender County;91.0;60.0;921.0;981.0;52732.0;4036.0;4.0;0.0;14.0;14.0;82.0;42.0;2022;04
2022-04-30 00:00:00;Richmond County;25.0;11.0;293.0;304.0;34875.0;1942.0;2.0;0.0;-1.0;-1.0;-311.0;14.0;2022;04
2022-04-30 00:00:00;Rockingham County;57.0;49.0;747.0;796.0;79212.0;5106.0;2.0;0.0;3.0;3.0;-607.0;-5.0;2022;04
2022-04-30 00:00:00;Rowan County;145.0;105.0;1365.0;1470.0;115599.0;10236.0;0.0;3.0;18.0;21.0;-576.0;-65.0;2022;04
2022-04-30 00:00:00;Wake County;7688.0;2708.0;27650.0;30358.0;784170.0;36543.0;227.0;70.0;377.0;447.0;-1283.0;180.0;2022;04
2022-12-31 00:00:00;Avery County;30.0;7.0;189.0;196.0;15818.0;1717.0;1.0;0.0;-3.0;-3.0;-40.0;-15.0;2022;12
2022-12-31 00:00:00;Beaufort County;64.0;27.0;575.0;602.0;40208.0;3533.0;3.0;1.0;-1.0;0.0;20.0;3.0;2022;12
2022-12-31 00:00:00;Bertie County;6.0;4.0;110.0;114.0;15823.0;1194.0;-1.0;0.0;0.0;0.0;-103.0;2.0;2022;12
2022-12-31 00:00:00;Burke County;114.0;60.0;954.0;1014.0;73904.0;4706.0;8.0;0.0;0.0;0.0;95.0;-10.0;2022;12
2022-12-31 00:00:00;Cabarrus County;931.0;289.0;3131.0;3420.0;163565.0;9673.0;45.0;10.0;21.0;31.0;-41.0;-14.0;2022;12
2022-12-31 00:00:00;Cumberland County;578.0;291.0;3463.0;3754.0;210375.0;9513.0;39.0;9.0;32.0;41.0;-271.0;-3.0;2022;12
2022-12-31 00:00:00;Davidson County;222.0;119.0;1859.0;1978.0;139865.0;21798.0;8.0;2.0;10.0;12.0;-171.0;30.0;2022;12
2022-12-31 00:00:00;Henderson County;345.0;201.0;2551.0;2752.0;96288.0;6515.0;9.0;-1.0;0.0;-1.0;128.0;10.0;2022;12
2022-12-31 00:00:00;Hoke County;79.0;51.0;584.0;635.0;39570.0;2325.0;1.0;1.0;1.0;2.0;-37.0;2.0;2022;12
2022-12-31 00:00:00;Lenoir County;42.0;25.0;442.0;467.0;42183.0;3290.0;2.0;2.0;6.0;8.0;-42.0;10.0;2022;12
2022-12-31 00:00:00;Montgomery County;39.0;15.0;281.0;296.0;23394.0;1798.0;1.0;0.0;7.0;7.0;-1.0;6.0;2022;12
2022-12-31 00:00:00;Pamlico County;21.0;19.0;174.0;193.0;11209.0;1002.0;-2.0;-2.0;1.0;-1.0;18.0;5.0;2022;12
2022-12-31 00:00:00;Perquimans County;15.0;18.0;182.0;200.0;11639.0;1009.0;0.0;1.0;5.0;6.0;26.0;-15.0;2022;12
2022-12-31 00:00:00;Polk County;62.0;35.0;479.0;514.0;18318.0;1856.0;3.0;0.0;6.0;6.0;-24.0;2.0;2022;12
2022-12-31 00:00:00;Robeson County;60.0;31.0;690.0;721.0;91018.0;5227.0;0.0;0.0;17.0;17.0;-300.0;5.0;2022;12
2022-12-31 00:00:00;Warren County;26.0;14.0;165.0;179.0;16550.0;1061.0;2.0;-1.0;4.0;3.0;12.0;-18.0;2022;12
